fips,state,msa,msaname,compositeindex2010
12031011800,12,27260,"Jacksonville, FL Metro Area",94.028723
12031012704,12,27260,"Jacksonville, FL Metro Area",93.636782
12031014002,12,27260,"Jacksonville, FL Metro Area",93.290336
12031013000,12,27260,"Jacksonville, FL Metro Area",93.145189
12031010700,12,27260,"Jacksonville, FL Metro Area",93.032536
12019030904,12,27260,"Jacksonville, FL Metro Area",92.894473
12031013404,12,27260,"Jacksonville, FL Metro Area",92.767978
12031014800,12,27260,"Jacksonville, FL Metro Area",92.68445
12031010402,12,27260,"Jacksonville, FL Metro Area",92.561437
12031015801,12,27260,"Jacksonville, FL Metro Area",92.177161
12031016100,12,27260,"Jacksonville, FL Metro Area",92.175272
12031012601,12,27260,"Jacksonville, FL Metro Area",91.930891
12031012800,12,27260,"Jacksonville, FL Metro Area",91.805771
12109021406,12,27260,"Jacksonville, FL Metro Area",91.518965
12031015926,12,27260,"Jacksonville, FL Metro Area",91.433544
12019030802,12,27260,"Jacksonville, FL Metro Area",91.161535
12031016000,12,27260,"Jacksonville, FL Metro Area",90.948428
12031014702,12,27260,"Jacksonville, FL Metro Area",90.750411
12031014500,12,27260,"Jacksonville, FL Metro Area",90.6573
12019030703,12,27260,"Jacksonville, FL Metro Area",90.457221
12019030701,12,27260,"Jacksonville, FL Metro Area",90.390833
12031016601,12,27260,"Jacksonville, FL Metro Area",90.362292
12031014312,12,27260,"Jacksonville, FL Metro Area",90.119835
12031014338,12,27260,"Jacksonville, FL Metro Area",90.109403
12031014408,12,27260,"Jacksonville, FL Metro Area",90.055466
12031011600,12,27260,"Jacksonville, FL Metro Area",89.875426
12031012602,12,27260,"Jacksonville, FL Metro Area",89.536499
12019030301,12,27260,"Jacksonville, FL Metro Area",89.420391
12031015001,12,27260,"Jacksonville, FL Metro Area",89.400055
12019030702,12,27260,"Jacksonville, FL Metro Area",89.366809
12031014334,12,27260,"Jacksonville, FL Metro Area",89.00113
12031013402,12,27260,"Jacksonville, FL Metro Area",88.969176
12031014902,12,27260,"Jacksonville, FL Metro Area",88.851473
12031015923,12,27260,"Jacksonville, FL Metro Area",88.714567
12031012702,12,27260,"Jacksonville, FL Metro Area",88.482161
12019030902,12,27260,"Jacksonville, FL Metro Area",87.933771
12109020704,12,27260,"Jacksonville, FL Metro Area",87.763417
12031014603,12,27260,"Jacksonville, FL Metro Area",87.042156
12031016801,12,27260,"Jacksonville, FL Metro Area",86.786897
12031010401,12,27260,"Jacksonville, FL Metro Area",86.729982
12031014401,12,27260,"Jacksonville, FL Metro Area",86.363968
12031014329,12,27260,"Jacksonville, FL Metro Area",86.26087
12109020710,12,27260,"Jacksonville, FL Metro Area",86.110723
12031011400,12,27260,"Jacksonville, FL Metro Area",86.091911
12031012703,12,27260,"Jacksonville, FL Metro Area",86.050939
12031014311,12,27260,"Jacksonville, FL Metro Area",86.0278
12031010303,12,27260,"Jacksonville, FL Metro Area",85.886892
12031010800,12,27260,"Jacksonville, FL Metro Area",85.844787
12019030801,12,27260,"Jacksonville, FL Metro Area",85.730362
12031016725,12,27260,"Jacksonville, FL Metro Area",85.593209
12109020802,12,27260,"Jacksonville, FL Metro Area",85.570865
12031013300,12,27260,"Jacksonville, FL Metro Area",85.547153
12031016722,12,27260,"Jacksonville, FL Metro Area",85.132529
12109021206,12,27260,"Jacksonville, FL Metro Area",85.1052
12031012000,12,27260,"Jacksonville, FL Metro Area",84.922217
12031015924,12,27260,"Jacksonville, FL Metro Area",84.866855
12031014336,12,27260,"Jacksonville, FL Metro Area",84.510366
12109021404,12,27260,"Jacksonville, FL Metro Area",84.485318
12031016711,12,27260,"Jacksonville, FL Metro Area",84.455858
12031014332,12,27260,"Jacksonville, FL Metro Area",84.266454
12031014409,12,27260,"Jacksonville, FL Metro Area",84.191343
12031010202,12,27260,"Jacksonville, FL Metro Area",83.995831
